SystematicID,Gene,Product,S.cerevisiae_ortholog,Human_ortholog,RG_CLS,Validated/Group,ValidationCLS
SPAC1071.02,mms19,CIA machinery protein Mms19,MET18,MMS19,NA,no,
SPAC1071.03c,sil1,"nucleotide exchange factor for the ER lumenal Hsp70 chaperone, Sil1 (predicted)",SIL1,SIL1,NA,no,
SPAC1071.04c,spc2,signal peptidase subunit Spc2 (predicted),SPC2,SPCS2,long,no,
SPAC1071.05,hpm1,ribosome methytransferase involved in ribosome assembly Hpm1 (predicted),HPM1,METTL18,NA,no,
SPAC1071.07c,rps1502,40S ribosomal protein S15 (predicted),RPS15,RPS15,NA,no,
SPAC1071.08,rpp203,60S acidic ribosomal protein A2,"RPP2B,RPP2A",RPLP2,NA,no,
SPAC1071.09c,,"nucleolar DNAJ domain protein, DNAJC9 family, implicated in mRNA splicing (predicted)",,DNAJC9,NA,no,
SPAC1071.11,,"NADH-dependent flavin oxidoreductase (predicted), possibly riboflavin reductase",,,short,no,
SPAC1071.12c,stp1,"protein tyrosine phosphatase Stp1, unknown biological role",LTP1,ACP1,NA,no,
SPAC1093.01,ppr5,mitochondrial PPR repeat protein Ppr5,,,NA,no,
SPAC1093.02,pdx3,pyridoxamine 5'-phosphate oxidase Pdx3 (predicted),PDX3,PNPO,NA,no,
SPAC1093.03,fig4,inositol polyphosphate phosphatase Fig4 (predicted),FIG4,FIG4,short,no,
SPAC1093.06c,dhc1,"dynein heavy chain, minus-end directed microtubule motor Dhc1",DYN1,DYNC1H1,NA,no,
SPAC10F6.04,ats1,RCC domain protein Ats1 (predicted),ATS1,SERGEF,NA,no,
SPAC10F6.05c,ubc6,ubiquitin conjugating enzyme E2 Ubc6 (predicted),UBC6,UBE2J2,long,yes:Bar_seqTopL,long
SPAC10F6.06,vip1,RNA-binding protein Vip1,,,NA,no,
SPAC10F6.07c,mug94,Schizosaccharomyces pombe specific protein Mug94,,,short,no,
SPAC10F6.08c,nht1,Ino80 complex HMG box subunit Nht1,NHP10,,short,no,
SPAC10F6.11c,atg17,autophagy associated protein kinase activator Atg17,ATG17,,NA,no,
SPAC10F6.12c,mam4,protein-S isoprenylcysteine O-methyltransferase Mam4,STE14,ICMT,NA,no,
SPAC10F6.13c,caa1,cytoplasmic aspartate aminotransferase Caa1 (predicted),AAT2,"GOT1L1,GOT1",short,no,
SPAC10F6.14c,,"mitochondrial ABC1 kinase family protein, human ADCK5 ortholog, unknown role (predicted)",,ADCK5,NA,no,
SPAC10F6.15,,UPF0300 family protein 1,,,NA,no,
SPAC10F6.16,igo1,endosulfine (ENSA) serine/threonine protein kinase Igo1,"IGO2,IGO1","ARPP19,ENSA",short,no,
SPAC10F6.17c,,mitochondrial pyruvate dehydrogenase (lipoamide) phosphatase (predicted),PTC5,"PDP2,PDP1",NA,no,
SPAC110.02,pds5,mitotic and meiotic cohesin loader subunit Pds5,PDS5,"PDS5B,PDS5A",NA,no,
SPAC1142.01,rqc1,ribosome quality control complex (RQC) complex subunit Rqc1,RQC1,TCF25,NA,no,
SPAC1142.02c,,"TPR repeat protein, SGT2 family (predicted)",SGT2,"SGTA,SGTB",NA,no,
SPAC1142.03c,swi2,Swi5 complex subunit Swi2,MEI5,SFR1,NA,no,
SPAC1142.05,ctr5,plasma membrane copper transporter complex subunit Ctr5,CTR3,"SLC31A1,SLC31A2",NA,no,
SPAC1142.06,get3,GET complex (ER membrane insertion) subunit Get3 (predicted),GET3,GET3,NA,no,
SPAC1142.07c,vps32,ESCRT III complex subunit Vps32,SNF7,"CHMP4B,CHMP4A,CHMP4C",short,no,
SPAC1142.08,fhl1,forkhead transcription factor Fhl1,FHL1,,long,no,
SPAC11D3.01c,,Con-6 family conserved fungal protein,,,NA,no,
SPAC11D3.02c,,ELLA family acetyltransferase (predicted),,,NA,no,
SPAC11D3.03c,,"aminomethyltransferase-like and DUF1989 family protein, implicated in urea metabolism",,,NA,no,
SPAC11D3.04c,,polyketide cyclase SnoaL-like domain protein,,,NA,no,
SPAC11D3.05,mfs2,transmembrane transporter Mfs2 (predicted),,"SPNS2,SPNS3,SPNS1",NA,no,
SPAC11D3.06,,MatE family transmembrane transporter (predicted),"YDR338C,ERC1","SLC47A1,SLC47A2",NA,no,
SPAC11D3.07c,toe4,"transcription factor, zf-fungal binuclear cluster type(predicted)",,,NA,no,
SPAC11D3.09,,agmatinase (predicted),,AGMAT,NA,no,
SPAC11D3.10,,"nifs homolog, possible cysteine desulfurase",,,NA,no,
SPAC11D3.13,hsp3104,"ThiJ domain protein, implicated in cellular detoxification","HSP31,SNO4,HSP33,HSP32",,NA,no,
SPAC11D3.14c,,5-oxoprolinase (ATP-hydrolizing) (predicted),OXP1,OPLAH,NA,no,
SPAC11D3.15,,5-oxoprolinase (ATP-hydrolizing) (predicted),OXP1,OPLAH,NA,no,
SPAC11D3.16c,,Schizosaccharomyces specific protein,,,NA,no,
SPAC11D3.17,,"transcription factor, zf-fungal binuclear cluster type",,,NA,no,
SPAC11D3.18c,,carboxylic acid transmembrane transporter (predicted),TNA1,"SLC17A1,SLC17A2,SLC17A3,SLC17A4,SLC17A5,SLC17A6,SLC17A7,SLC17A8",NA,no,
SPAC11E3.01c,swr1,SNF2 family ATP-dependent DNA helicase Swr1,SWR1,"EP400,SRCAP",long,no,
SPAC11E3.03,csm1,microtubule-site clamp monopolin complex subunit Csm1/Pcs1,CSM1,,short,no,
SPAC11E3.04c,ubc13,ubiquitin conjugating enzyme E2 Ubc13,UBC13,UBE2N,NA,no,
SPAC11E3.06,map1,MADS-box transcription factor Map1,"ARG80,MCM1","MEF2A,MEF2B,MEF2C,MEF2D",NA,no,
SPAC11E3.09,pyp3,protein-tyrosine phosphatase Pyp3,PTP1,"PTPN1,PTPN2",NA,no,
SPAC11E3.10,,Golgi multispanning membrane VanZ-like family protein,YJR112W-A,,NA,no,
SPAC11E3.11c,syt22,guanyl-nucleotide exchange factor Syt22,YEL1,"PSD2,PSD3,PSD4,PSD",short,no,
SPAC11E3.12,,"mitochondrial thioredoxin family protein, implicated in sulfur cluster assembly",,NDUFV2,NA,no,
SPAC11E3.13c,gas5,"cell wall protein 1,3-beta-glucanosyltransferase Gas5 (predicted)",GAS5,,NA,no,
SPAC11E3.14,,protein with a role in clearing protein aggregates (predicted),"IML2,YKR018C","TTC39A,TTC30B,TTC39C",NA,no,
SPAC11G7.01,mtl2,plasma membrane-associated serine-rich cell wall sensor Mtl2,,,NA,no,
SPAC11G7.02,pub1,HECT-type ubiquitin-protein ligase E3 Pub1,RSP5,"NEDD4,NEDD4L",short,no,
SPAC11G7.03,idh1,isocitrate dehydrogenase (NAD+) subunit 1 Idh1,IDH1,"IDH3B,IDH3G",NA,no,
SPAC11G7.04,ubi1,ribosomal-ubiquitin fusion protein Ubi1 (predicted),"RPL40A,RPL40B",UBA52,NA,no,
SPAC11G7.06c,mug132,UPF0300 family protein 3,,,NA,no,
SPAC11H11.01,sst6,ESCRT I complex subunit Vps23,STP22,TSG101,NA,no,
SPAC11H11.02c,mug162,Schizosaccharomyces specific protein Mug162,,,NA,no,
SPAC11H11.03c,,ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity implicated in DNA repair (predicted),YPL199C,N4BP2,NA,no,
SPAC11H11.04,mam2,pheromone p-factor receptor,STE2,,NA,no,
SPAC11H11.05c,fta6,Mis6-Sim4 complex Fta6,,,NA,no,
SPAC1250.02,mug95,Schizosaccharomyces specific protein Mug95,,,NA,no,
SPAC1250.03,ubc14,"ubiquitin conjugating enzyme E2 for HECT-type and RBR family E3 Ub ligases, Ubc14 (predicted)",,"UBE2L3,UBE2L6",NA,no,
SPAC1250.05,rpl3002,60S ribosomal protein L30 (predicted),RPL30,RPL30,NA,no,
SPAC1296.01c,,phosphoacetylglucosamine mutase (predicted),PCM1,PGM3,NA,no,
SPAC1296.02,cox4,cytochrome c oxidase subunit IV (predicted),COX4,COX5B,long,no,
SPAC1296.03c,sxa2,serine carboxypeptidase Sxa2,,,NA,no,
SPAC1296.04,mug65,dysferlin-like membrane trafficking protein Mug65 (predicted),SPO73,"FER1L5,FER1L6,DYSF,MYOF,OTOF",NA,no,
SPAC1296.05c,lcp1,cyclin L family cyclin,,"CCNT1,CCNT2,CCNQ",NA,no,
SPAC1296.06,tah18,CIA machinery NADPH-dependent diflavin oxidoreductase Tah18 (predicted),TAH18,NDOR1,NA,no,
SPAC12B10.01c,,"HECT-type ubiquitin-protein ligase E3, implicated in negative regulation of ubiquitinated chromatin formation (predicted)",UFD4,TRIP12,NA,no,
SPAC12B10.02c,,endoplasmic reticulum resident protein required for packaging into COPII vesicles (predicted),PHO86,,short,no,
SPAC12B10.03,bun62,WD repeat protein Wdr20,,"WDR20,DMWD",NA,no,
SPAC12B10.04,pby1,tubulin-tyrosine ligase Pby1 (predicted),PBY1,"TTLL1,TTLL9,TTLL5,TTLL2,TTLL7,TTLL4",NA,no,
SPAC12B10.05,icp55,mitochondrial intermediate cleavage peptidase Icp55 (predicted),ICP55,XPNPEP3,NA,no,
SPAC12B10.06c,emi5,succinate dehydrogenase complex assembly protein Emi5 (predicted),SDH5,SDHAF2,NA,no,
SPAC12B10.07,acp1,F-actin capping protein alpha subunit,CAP1,"CAPZA1,CAPZA2",long,no,
SPAC12B10.09,pet801,"mitochondrial carrier, S-adenosylmethionine (predicted)",PET8,SLC25A26,NA,no,
SPAC12B10.10,nod1,medial cortical node Gef2-related protein protein Nod1,,,NA,no,
SPAC12B10.11,exg2,cell wall glucan glucosidase Exg2,"EXG2,EXG1,SPR1",,NA,no,
SPAC12B10.12c,rhp41,DNA repair protein Rhp41,"RAD34,RAD4",XPC,short,no,
SPAC12B10.13,gid8,GID complex subunit Gid8 (predicted),GID8,GID8,short,no,
SPAC12B10.14c,tea5,pseudokinase Tea5,,,short,yes:Bar_seqShort,short
SPAC12B10.15c,,ribonuclease H2 complex subunit (predicted),RNH203,RNASEH2C,NA,no,
SPAC12B10.16c,mug157,alpha-mannosidase GH125 family Mug157 (predicted),,,NA,no,
SPAC12G12.01c,sea4,SEA complex ubiquitin-protein ligase E3 subunit Sea4 (predicted),SEA4,MIOS,NA,no,
SPAC12G12.03,cip2,RNA-binding protein Cip2,PIN4,"CSTF2T,CSTF2",NA,no,
SPAC12G12.07c,,conserved fungal protein,,,NA,no,
SPAC12G12.09,eti1,WD repeat protein associated with stress granule,,,NA,no,
SPAC12G12.10,wdr21,"WD repeat protein, human DDB1 and CUL4-associated factor 4 ortholog Wdr21",,"DCAF4,DCAF4L2,DCAF4L1",NA,no,
SPAC12G12.11c,miy1,"Lys48-specific deubiquitinase Mindy family, Miy1","YGL082W,YPL191C","MINDY1,MINDY2",NA,no,
SPAC12G12.12,gms2,Golgi UDP-galactose transmembrane transporter Gms2 (predicted),,SLC35F6,NA,no,
SPAC12G12.13c,cid14,TRAMP complex poly(A) polymerase subunit Cid14,"TRF5,PAP2","TENT4A,TENT4B",short,no,
SPAC12G12.15,sif3,"mitochondrial protein, involved in mitochondrial gene expression (predicted)","RMD1,MRX10,RMD8",RMND1,NA,no,
SPAC139.01c,mkt1,XP-G family nuclease Mkt1,MKT1,,NA,no,
SPAC139.02c,oac1,"mitochondrial carrier, ocaloacetate family anion (predicted)",OAC1,"SLC25A34,SLC25A35",NA,no,
SPAC139.03,toe2,"transcription factor, zf-fungal binuclear cluster type (predicted)",,,NA,no,
SPAC139.04c,fap2,L-saccharopine oxidase,,PIPOX,NA,no,
SPAC139.05,,succinate-semialdehyde dehydrogenase (predicted),UGA2,ALDH5A1,NA,no,
SPAC1399.01c,,nucleobase transmembrane transporter (predicted),,"SLC23A2,SLC23A1",NA,no,
SPAC1399.02,,transmembrane transporter (predicted),"VBA3,AZR1,SGE1",,NA,no,
SPAC1399.03,fur4,plasma membrane uracil transmembrane transporter,"FUI1,FUR4,DAL4",,NA,no,
SPAC1399.04c,uck2,uracil phosphoribosyltransferase Uck2,FUR1,"UCK2,UCK1,UCKL1",NA,no,
SPAC1399.05c,toe1,"transcription factor, zf-fungal binuclear cluster type",,,NA,no,
SPAC13A11.01c,rga8,"RhoGAP, GTPase activating protein Rga8",RGD2,,NA,no,
SPAC13A11.03,mcp7,meiosis specific coiled-coil protein Mcp7,MND1,MND1,NA,no,
SPAC13A11.04c,ubp8,SAGA complex ubiquitin C-terminal hydrolase Ubp8,UBP8,"USP22,USP51",NA,no,
SPAC13A11.06,pdc202,pyruvate decarboxylase (predicted),"THI3,PDC6,PDC1,PDC5",,NA,no,
SPAC13C5.01c,pre9,20S proteasome complex subunit alpha 3 Pre9,PRE9,PSMA4,NA,no,
SPAC13C5.02,dre4,splicing associated factor Dre4,URN1,"PRPF40A,PRPF40B",short,no,
SPAC13C5.03,tht1,nuclear membrane protein involved in karyogamy Tht1,KAR5,,NA,no,
SPAC13C5.04,,"class I glutamine amidotransferase family protein, conserved in fungi, bacteria, plants",YLR126C,,NA,no,
SPAC13C5.06c,mug121,Schizosaccharomyces pombe specific protein Mug121,,,NA,no,
SPAC13C5.07,mre11,Mre11 nuclease,MRE11,MRE11,short,no,
SPAC13D6.01,pof14,F-box protein Pof14,,,NA,no,
SPAC13D6.02c,byr3,"translational activator, zf-CCHC type zinc finger protein (predicted)",GIS2,"CNBP,ZCCHC13",NA,no,
SPAC13D6.03c,trm9,tRNA (uridine) methyltransferase Trm9 (predicted),TRM9,ALKBH8,short,no,
SPAC13D6.04c,btb3,substrate adaptor for cullin 3 ubiquitin ligase Btb3,YIL001W,ABTB1,NA,no,
SPAC13F5.01c,msh1,mitochondrial MutS protein Msh1 (predicted),MSH1,,NA,no,
SPAC13F5.03c,gld1,mitochondrial glycerol dehydrogenase Gld1,,,short,no,
SPAC13F5.04c,vta1,Vps20 associated protein Vta1 (predicted),VTA1,VTA1,NA,no,
SPAC13F5.05,mpd1,thioredoxin family protein Mpd1 (predicted),MPD1,,NA,no,
SPAC13G6.01c,rad8,ubiquitin-protein ligase E3/ ATP-dependent DNA helicase Rad8,RAD5,HLTF,NA,no,
SPAC13G6.02c,rps101,40S ribosomal protein S3a,"RPS1A,RPS1B",RPS3A,long,no,
SPAC13G6.03,gpi7,GPI anchor biosynthesis protein Gpi7 (predicted),LAS21,PIGG,NA,no,
SPAC13G6.09,trs402,SSU-rRNA maturation protein Tsr4 homolog 2 Tsr402 (predicted),TSR4,PDCD2,short,no,
SPAC13G6.10c,asl1,"cell wall protein Asl1, predicted O-glucosyl hydrolase",,,long,no,
SPAC13G6.12c,chs1,chitin synthase I,"CHS2,CHS1",,NA,no,
SPAC13G6.13,,Schizosaccharomyces pombe specific protein,,,NA,no,
SPAC13G6.14,aps1,"diadenosine 5',5'''-p1,p6-hexaphosphate hydrolase Aps1",DDP1,"NUDT11,NUDT3,NUDT4",NA,no,
SPAC13G6.15c,,calcipressin (predicted),RCN1,"RCAN2,RCAN3",NA,no,
SPAC13G7.02c,ssa1,heat shock protein Ssa1 (predicted),"SSA1,SSA3,SSA4,SSA2","HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA5,HSPA6,HSPA8",NA,no,
SPAC13G7.03,upf3,up-frameshift suppressor 3 family protein (predicted),UPF3,"UPF3A,UPF3B",short,no,
SPAC13G7.04c,mac1,plasma membrane anchored protein Mac1,"DCV1,RIM9,YOL019W",,NA,no,
SPAC13G7.05,are1,acyl-coA-sterol acyltransferase Are1 (predicted),"ARE1,ARE2",DGAT1,NA,no,
SPAC13G7.06,met16,phosphoadenosine phosphosulfate reductase,MET16,,NA,no,
SPAC13G7.07,arb2,argonaute binding protein 2,,"FAM172A,FAM172BP",NA,no,
SPAC13G7.09c,,conserved fungal protein,,,NA,no,
SPAC13G7.11,mba1,mitochondrial membrane-associated ribosome receptor Mba1 (predicted),MBA1,MAIP1,NA,no,
SPAC13G7.12c,eki1,choline/ethanolamine kinase Eki1 (predicted),"EKI1,CKI1","CHKA,CHKB",short,no,
SPAC13G7.13c,msa1,RNA-binding protein Msa1,RIM4,,NA,no,
SPAC140.01,sdh2,succinate dehydrogenase (ubiquinone) iron-sulfur protein subunit (predicted),SDH2,SDHB,short,no,
SPAC140.02,gar2,nucleolar protein required for rRNA processing,NSR1,NCL,short,no,
SPAC140.03,arb1,argonaute inhibitor protein 1,,,NA,no,
SPAC140.04,ctr1,telomerase regulatory factor Ctr1,,CCDC174,NA,no,
SPAC1420.01c,,GATA-like domain protein (predicted),MKS1,,NA,no,
SPAC1420.03,rpn501,19S proteasome regulatory subunit Rpn501,RPN5,PSMD12,NA,no,
SPAC144.01,,Schizosaccharomyces specific protein,,,NA,no,
SPAC144.02,iec1,Ino80 complex subunit Iec1,,,short,no,
SPAC144.03,ade2,adenylosuccinate synthetase Ade2,ADE12,"ADSSL1,ADSS",short,no,
SPAC144.04c,spe1,ornithine decarboxylase Spe1 (predicted),SPE1,"AZIN1,AZIN2,ODC1",NA,no,
SPAC144.05,,DNA-dependent ATPase/ ubiquitin-protein ligase E3 (predicted),IRC20,SHPRH,NA,no,
SPAC144.06,apl5,AP-3 adaptor complex subunit Apl5 (predicted),APL5,AP3D1,short,no,
SPAC144.08,jac1,mitochondrial (2Fe-2S) cluster assembly co-chaperone Jac1,JAC1,HSCB,long,yes:Bar_seqTopL,long**
SPAC144.11,rps1102,40S ribosomal protein S11 (predicted),"RPS11B,RPS11A",RPS11,NA,no,
SPAC144.13c,srw1,substrate-specific mitotic G1 APC coactivator Srw1/Ste9,CDH1,FZR1,NA,no,
SPAC144.14,klp8,kinesin-like protein Klp8,,"KIF13B,KIF13A,KIF16B,KIF14,KIF1C,KIF1A",NA,no,
SPAC144.17c,,6-phosphofructo-2-kinase (predicted),YLR345W,"PFKFB1,PFKFB2,PFKFB3,PFKFB4",NA,no,
SPAC1486.01,sod2,mitochondrial superoxide dismutase Sod2,SOD2,SOD2,short,no,
SPAC1486.02c,dsc2,Golgi Dsc E3 ligase complex subunit Dsc2,DSC2,UBAC2,NA,no,
SPAC1486.04c,alm1,nucleoporin Alm1,,,short,no,
SPAC1486.08,cox16,mitochondrial copper chaperone for cytochrome c oxidase Cox16 (predicted),COX16,COX16,short,no,
SPAC1486.10,thi1,transcription factor Thi1,,,short,no,
SPAC14C4.01c,,DUF1770 family protein,,,NA,no,
SPAC14C4.04,,ThiJ domain protein (predicted),,,NA,no,
SPAC14C4.05c,man1,"LEM domain nuclear inner membrane protein Man1, Sad1 interacting factor","HEH2,SRC1",LEMD3,NA,no,
SPAC14C4.06c,nab2,poly(A) binding protein Nab2 (predicted),NAB2,ZC3H14,long,no,
SPAC14C4.07,,transmembrane transporter (predicted),YJL163C,"SLC46A2,SLC46A1",NA,no,
SPAC14C4.08,mug5,dynactin complex subunit Mug5,,,NA,no,
SPAC14C4.09,agn1,"cell wall glucan endo-1,3-alpha-glucosidase Agn1",,,NA,no,
SPAC14C4.10c,,Nudix family hydrolase,,,NA,no,
SPAC14C4.11,vtc2,vacuolar transporter chaperone (VTC) complex polyphosphate synthetase subunit Vtc2/3 (predicted),"VTC2,VTC3",,NA,no,
SPAC14C4.12c,laf1,Clr6 L associated factor 1 Laf1,"FUN19,YOR338W",,long,no,
SPAC14C4.13,rad17,RFC related checkpoint protein Rad17,RAD24,RAD17,NA,no,
SPAC14C4.14,atp1,F1-FO ATP synthase alpha subunit,ATP1,ATP5F1A,short,no,
SPAC14C4.15c,dpp1,vacuolar dipeptidyl peptidase (predicted),"DAP2,STE13",,NA,no,
SPAC14C4.16,dad3,DASH complex subunit Dad3,DAD3,,long,no,
SPAC1527.01,mok11,"alpha-1,3-glucan synthase Mok11",,,NA,no,
SPAC1527.02,sft2,Golgi transport protein Sft2 (predicted),SFT2,SFT2D3,NA,no,
SPAC1527.03,lar1,"RNA-binding protein, LARP1 family Lar1 (predicted)","SRO9,SLF1","LARP1B,LARP1",NA,no,
SPAC1556.01c,rad50,DNA repair protein Rad50,RAD50,RAD50,NA,no,
SPAC1556.02c,sdh1,succinate dehydrogenase Sdh1 (predicted),"YJL045W,SDH1",SDHA,short,yes:Bar_seqShort_ctr,short
SPAC1556.03,azr1,mitochondrial protein phosphatase Azr1,PTC7,PPTC7,NA,no,
SPAC1556.04c,cdd1,cytidine deaminase Ccd1 (predicted),CDD1,CDA,NA,no,
SPAC1556.08c,cbs2,AMP-activated protein kinase gamma subunit Cbs2,SNF4,"PRKAG1,PRKAG2,PRKAG3",NA,no,
SPAC1565.02c,,"Rho-type GTPase activating protein, with CRAL-TRIO_domain (predicted)",,ARHGAP1,NA,no,
SPAC1565.03,,Schizosaccharomyces pombe specific protein,,,NA,no,
SPAC1565.04c,ste4,adaptor protein Ste4,STE50,,NA,no,
SPAC1565.07c,knd1,Cullin-associated NEDD8-dissociated protein Knd1 (predicted),,"CAND1,CAND2",NA,no,
SPAC15A10.05c,mug182,NADHX epimerase (predicted),NNR1,"NAXE,YJEFN3",NA,no,
SPAC15A10.06,,CPA1 sodium ion/proton antiporter (predicted),NHX1,"SLC9A6,SLC9A7,SLC9A9",NA,no,
SPAC15A10.07,,Schizosaccharomyces specific protein,,,NA,no,
SPAC15A10.08,ain1,alpha-actinin,,"ACTN1,ACTN2,ACTN4",NA,no,
SPAC15A10.09c,pun1,SUR7 family protein Pun1 (predicted),PUN1,,NA,no,
SPAC15A10.10,mde6,"Muskelin homolog, kelch repeat, expressed during meiotic cell cycle (predicted)",,MKLN1,NA,no,
SPAC15A10.11,ubr11,UBR ubiquitin-protein ligase E3 Ubr11,"UBR1,UBR2","UBR1,UBR2",NA,no,
SPAC15A10.15,sgo2,"inner centromere protein, shugoshin Sgo2",SGO1,SGO1,NA,no,
SPAC15A10.16,bud6,nucleation-promoting factor Bud6,BUD6,"KIAA1217,SRCIN1",NA,no,
SPAC15E1.02c,,DUF1761 family protein,,,NA,no,
SPAC15E1.05c,ect1,ethanolamine-phosphate cytidylyltransferase (predicted),ECT1,PCYT2,NA,no,
SPAC15E1.06,vps29,retromer complex subunit Vps29,VPS29,VPS29,short,no,
SPAC15E1.07c,moa1,meiotic kinetochore protein (Meikin) Moa1,SPO13,MEIKIN,NA,no,
SPAC15E1.09,grx2,glutaredoxin Grx2,"GRX1,GRX2","GLRX2,GLRX",NA,no,
SPAC15F9.01c,glm1,"Glomulin, ubiquitin-protein transferase inhibitor Glm1 (predicted)","YBP1,YBP2",GLMN,NA,no,
SPAC15F9.02,seh1,SEA complex subunit Seh1,SEH1,SEH1L,NA,no,
SPAC16.01,rho2,Rho family GTPase Rho2,RHO2,"RHOA,RHOB,RHOC",NA,no,
SPAC16.03c,ura2,dihydroorotase Ura2,URA4,,NA,no,
SPAC16.04,dus3,tRNA dihydrouridine synthase Dus3 (predicted),DUS3,DUS3L,NA,no,
SPAC1610.01,saf5,splicing factor Saf5,LOT5,CLNS1A,short,no,
SPAC1610.02c,mrpl1,mitochondrial ribosomal protein subunit L1 (predicted),MRPL1,MRPL1,short,no,
SPAC1610.03c,crp79,poly(A) binding protein Crp79,,,NA,no,
SPAC1610.04,mug99,mitochondrial conserved fungal membrane protein Mug99,,,NA,no,
SPAC1635.01,por1,mitochondrial outer membrane voltage-dependent anion-selective channel Por1 (predicted),"POR2,POR1","VDAC1,VDAC2,VDAC3",NA,no,
SPAC1639.02c,trk2,plasma membrane potassium ion transmembrane transporter Trk2,"TRK1,TRK2",,NA,no,
SPAC167.01,ire1,"serine/threonine protein kinase, sensor for unfolded proteins in the ER Ire1",IRE1,"ERN2,ERN1",long,no,
SPAC167.04,pam17,TIM23 translocase complex-associated motor subunit Pam17 (predicted),PAM17,,NA,no,
SPAC167.05,dbs2,Usp (universal stress protein) family protein,,,NA,no,
SPAC167.06c,mug143,Schizosaccharomyces specific protein Mug143,,,NA,no,
SPAC167.07c,hul5,HECT-type ubiquitin-protein ligase E3 (predicted),HUL5,UBE3B,NA,no,
SPAC1687.05,pli1,SUMO E3 ligase Pli1,"SIZ1,NFI1","PIAS3,PIAS4,PIAS2,PIAS1",NA,no,
SPAC1687.06c,rpl44,60S ribosomal protein L28/L44 (predicted),,RPL28,NA,no,
SPAC1687.07,,ER membrane DUF2015 family conserved fungal protein,YCL012C,,NA,no,
SPAC1687.08,,Schizosaccharomyces pombe specific protein,,,NA,no,
SPAC1687.09,irs4,autophagy/CVT pathway ENTH/VHS domain protein Irs4 (predicted),"TAX4,IRS4","EPS15L1,EPS15",NA,no,
